iter	Passed	Remaining
1542	28175	8344
1543	28189	8325
1544	28203	8305
1545	28224	8288
1546	28243	8270
1547	28260	8251
1548	28277	8233
1549	28291	8213
1550	28307	8194
1551	28323	8175
1552	28342	8157
1553	28359	8139
1554	28375	8120
1555	28391	8101
1556	28408	8082
1557	28423	8063
1558	28440	8044
1559	28454	8025
1560	28471	8007
1561	28487	7988
1562	28504	7969
1563	28518	7950
1564	28535	7931
1565	28554	7913
1566	28571	7894
1567	28587	7876
1568	28600	7856
1569	28614	7836
1570	28627	7817
1571	28640	7797
1572	28656	7779
1573	28669	7759
1574	28680	7739
1575	28693	7719
1576	28706	7700
1577	28721	7680
1578	28734	7661
1579	28749	7642
1580	28763	7623
1581	28776	7603
1582	28790	7584
1583	28805	7564
1584	28838	7550
1585	28866	7535
1586	28883	7516
1587	28895	7496
1588	28908	7477
1589	28923	7458
1590	28937	7438
1591	28950	7419
1592	28965	7400
1593	28985	7382
1594	28998	7363
1595	29009	7343
1596	29022	7323
1597	29037	7304
1598	29050	7285
1599	29064	7266
1600	29077	7246
1601	29090	7227
1602	29103	7207
1603	29118	7188
1604	29134	7170
1605	29148	7150
1606	29163	7132
1607	29185	7114
1608	29210	7098
1609	29225	7079
1610	29240	7060
1611	29254	7041
1612	29266	7021
1613	29279	7002
1614	29292	6983
1615	29305	6963
1616	29318	6944
1617	29332	6925
1618	29345	6905
1619	29357	6886
1620	29369	6866
1621	29382	6847
1622	29399	6829
1623	29426	6813
1624	29443	6794
1625	29455	6775
1626	29467	6755
1627	29479	6736
1628	29492	6716
1629	29505	6697
1630	29518	6678
1631	29531	6659
1632	29547	6640
1633	29561	6621
1634	29575	6602
1635	29589	6583
1636	29601	6564
1637	29615	6545
1638	29629	6526
1639	29644	6507
1640	29657	6488
1641	29669	6468
1642	29681	6449
1643	29696	6430
1644	29711	6411
1645	29725	6392
1646	29739	6374
1647	29753	6355
1648	29767	6336
1649	29780	6317
1650	29793	6297
1651	29808	6279
1652	29822	6260
1653	29833	6240
1654	29847	6222
1655	29866	6204
1656	29892	6187
1657	29920	6171
1658	29943	6154
1659	29957	6135
1660	29980	6118
1661	29992	6099
1662	30005	6080
1663	30018	6061
1664	30031	6042
